speaker_id,utterance_count,valid_readable_wav_count,invalid_wav_count,zero_frame_count,duration_seconds,provenance_classes,exact_duplicate_file_count,candidate_source_group_count,positive_pair_support_status
127,303,303,0,0,909.0,train,0,303,at_least_two_nonzero_readable
128,24,24,0,0,72.0,train,0,24,at_least_two_nonzero_readable
129,66,66,0,0,198.0,train,0,66,at_least_two_nonzero_readable
130,26,26,0,0,78.0,train,0,26,at_least_two_nonzero_readable
131,215,215,0,0,645.0,train,0,215,at_least_two_nonzero_readable
132,140,140,0,0,420.0,train,0,140,at_least_two_nonzero_readable
133,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
134,112,112,0,0,336.0,train,0,112,at_least_two_nonzero_readable
135,155,155,0,0,465.0,train,0,155,at_least_two_nonzero_readable
136,426,426,0,0,1278.0,train,0,426,at_least_two_nonzero_readable
137,92,92,0,0,276.0,train,0,92,at_least_two_nonzero_readable
138,64,64,0,0,192.0,train,0,64,at_least_two_nonzero_readable
139,55,55,0,0,165.0,train,0,55,at_least_two_nonzero_readable
140,22,22,0,0,66.0,train,0,22,at_least_two_nonzero_readable
141,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
142,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
143,419,419,0,0,1257.0,train,0,419,at_least_two_nonzero_readable
144,338,338,0,0,1014.0,train,0,338,at_least_two_nonzero_readable
145,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
146,26,26,0,0,78.0,train,0,26,at_least_two_nonzero_readable
147,189,189,0,0,567.0,train,0,189,at_least_two_nonzero_readable
148,108,108,0,0,324.0,train,0,108,at_least_two_nonzero_readable
149,122,122,0,0,366.0,train,0,122,at_least_two_nonzero_readable
150,59,59,0,0,177.0,train,0,59,at_least_two_nonzero_readable
151,76,76,0,0,228.0,train,0,76,at_least_two_nonzero_readable
152,18,18,0,0,54.0,train,0,18,at_least_two_nonzero_readable
153,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
154,302,302,0,0,906.0,train,0,302,at_least_two_nonzero_readable
155,227,227,0,0,681.0,train,0,227,at_least_two_nonzero_readable
156,143,143,0,0,429.0,train,0,143,at_least_two_nonzero_readable
157,54,54,0,0,162.0,train,0,54,at_least_two_nonzero_readable
158,190,190,0,0,570.0,train,0,190,at_least_two_nonzero_readable
159,179,179,0,0,537.0,train,0,179,at_least_two_nonzero_readable
160,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
161,25,25,0,0,75.0,train,0,25,at_least_two_nonzero_readable
162,175,175,0,0,525.0,train,0,175,at_least_two_nonzero_readable
163,56,56,0,0,168.0,train,0,56,at_least_two_nonzero_readable
164,298,298,0,0,894.0,train,0,298,at_least_two_nonzero_readable
165,314,314,0,0,942.0,train,0,314,at_least_two_nonzero_readable
166,9,9,0,0,27.0,train,0,9,at_least_two_nonzero_readable
167,73,73,0,0,219.0,train,0,73,at_least_two_nonzero_readable
168,180,180,0,0,540.0,train,0,180,at_least_two_nonzero_readable
169,468,468,0,0,1404.0,train,0,468,at_least_two_nonzero_readable
170,473,473,0,0,1419.0,train,0,473,at_least_two_nonzero_readable
171,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
172,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
173,339,339,0,0,1017.0,train,0,339,at_least_two_nonzero_readable
174,123,123,0,0,369.0,train,0,123,at_least_two_nonzero_readable
175,37,37,0,0,111.0,train,0,37,at_least_two_nonzero_readable
176,107,107,0,0,321.0,train,0,107,at_least_two_nonzero_readable
177,125,125,0,0,375.0,train,0,125,at_least_two_nonzero_readable
178,24,24,0,0,72.0,train,0,24,at_least_two_nonzero_readable
179,84,84,0,0,252.0,train,0,84,at_least_two_nonzero_readable
180,195,195,0,0,585.0,train,0,195,at_least_two_nonzero_readable
181,61,61,0,0,183.0,train,0,61,at_least_two_nonzero_readable
182,52,52,0,0,156.0,train,0,52,at_least_two_nonzero_readable
183,163,163,0,0,489.0,train,0,163,at_least_two_nonzero_readable
184,199,199,0,0,597.0,train,0,199,at_least_two_nonzero_readable
185,98,98,0,0,294.0,train,0,98,at_least_two_nonzero_readable
186,76,76,0,0,228.0,train,0,76,at_least_two_nonzero_readable
187,51,51,0,0,153.0,train,0,51,at_least_two_nonzero_readable
188,469,469,0,0,1407.0,train,0,469,at_least_two_nonzero_readable
189,38,38,0,0,114.0,train,0,38,at_least_two_nonzero_readable
190,522,522,0,0,1566.0,train,0,522,at_least_two_nonzero_readable
191,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
192,3,3,0,0,9.0,train,0,3,at_least_two_nonzero_readable
193,18,18,0,0,54.0,train,0,18,at_least_two_nonzero_readable
194,13,13,0,0,39.0,train,0,13,at_least_two_nonzero_readable
195,8,8,0,0,24.0,train,0,8,at_least_two_nonzero_readable
196,59,59,0,0,177.0,train,0,59,at_least_two_nonzero_readable
197,142,142,0,0,426.0,train,0,142,at_least_two_nonzero_readable
198,149,149,0,0,447.0,train,0,149,at_least_two_nonzero_readable
199,73,73,0,0,219.0,train,0,73,at_least_two_nonzero_readable
200,91,91,0,0,273.0,train,0,91,at_least_two_nonzero_readable
201,80,80,0,0,240.0,train,0,80,at_least_two_nonzero_readable
202,28,28,0,0,84.0,train,0,28,at_least_two_nonzero_readable
203,95,95,0,0,285.0,train,0,95,at_least_two_nonzero_readable
204,135,135,0,0,405.0,train,0,135,at_least_two_nonzero_readable
205,180,180,0,0,540.0,train,0,180,at_least_two_nonzero_readable
206,77,77,0,0,231.0,train,0,77,at_least_two_nonzero_readable
207,5,5,0,0,15.0,train,0,5,at_least_two_nonzero_readable
208,106,106,0,0,318.0,train,0,106,at_least_two_nonzero_readable
209,10,10,0,0,30.0,train,0,10,at_least_two_nonzero_readable
210,140,140,0,0,420.0,train,0,140,at_least_two_nonzero_readable
211,8,8,0,0,24.0,train,0,8,at_least_two_nonzero_readable
212,385,385,0,0,1155.0,train,0,385,at_least_two_nonzero_readable
213,72,72,0,0,216.0,train,0,72,at_least_two_nonzero_readable
214,6,6,0,0,18.0,train,0,6,at_least_two_nonzero_readable
215,19,19,0,0,57.0,train,0,19,at_least_two_nonzero_readable
216,68,68,0,0,204.0,train,0,68,at_least_two_nonzero_readable
217,152,152,0,0,456.0,train,0,152,at_least_two_nonzero_readable
218,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
219,52,52,0,0,156.0,train,0,52,at_least_two_nonzero_readable
220,24,24,0,0,72.0,train,0,24,at_least_two_nonzero_readable
221,75,75,0,0,225.0,train,0,75,at_least_two_nonzero_readable
222,22,22,0,0,66.0,train,0,22,at_least_two_nonzero_readable
223,186,186,0,0,558.0,train,0,186,at_least_two_nonzero_readable
224,63,63,0,0,189.0,train,0,63,at_least_two_nonzero_readable
225,67,67,0,0,201.0,train,0,67,at_least_two_nonzero_readable
226,28,28,0,0,84.0,train,0,28,at_least_two_nonzero_readable
227,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
228,142,142,0,0,426.0,train,0,142,at_least_two_nonzero_readable
229,146,146,0,0,438.0,train,0,146,at_least_two_nonzero_readable
230,223,223,0,0,669.0,train,0,223,at_least_two_nonzero_readable
231,271,271,0,0,813.0,train,0,271,at_least_two_nonzero_readable
232,8,8,0,0,24.0,train,0,8,at_least_two_nonzero_readable
233,161,161,0,0,483.0,train,0,161,at_least_two_nonzero_readable
234,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
235,122,122,0,0,366.0,train,0,122,at_least_two_nonzero_readable
236,8,8,0,0,24.0,train,0,8,at_least_two_nonzero_readable
237,321,321,0,0,963.0,train,0,321,at_least_two_nonzero_readable
238,25,25,0,0,75.0,train,0,25,at_least_two_nonzero_readable
239,70,70,0,0,210.0,train,0,70,at_least_two_nonzero_readable
240,90,90,0,0,270.0,train,0,90,at_least_two_nonzero_readable
241,21,21,0,0,63.0,train,0,21,at_least_two_nonzero_readable
242,46,46,0,0,138.0,train,0,46,at_least_two_nonzero_readable
243,167,167,0,0,501.0,train,0,167,at_least_two_nonzero_readable
244,15,15,0,0,45.0,train,0,15,at_least_two_nonzero_readable
245,147,147,0,0,441.0,train,0,147,at_least_two_nonzero_readable
246,110,110,0,0,330.0,train,0,110,at_least_two_nonzero_readable
247,37,37,0,0,111.0,train,0,37,at_least_two_nonzero_readable
248,346,346,0,0,1038.0,train,0,346,at_least_two_nonzero_readable
249,73,73,0,0,219.0,train,0,73,at_least_two_nonzero_readable
250,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
251,23,23,0,0,69.0,train,0,23,at_least_two_nonzero_readable
252,181,181,0,0,543.0,train,0,181,at_least_two_nonzero_readable
253,113,113,0,0,339.0,train,0,113,at_least_two_nonzero_readable
254,44,44,0,0,132.0,train,0,44,at_least_two_nonzero_readable
255,103,103,0,0,309.0,train,0,103,at_least_two_nonzero_readable
256,82,82,0,0,246.0,train,0,82,at_least_two_nonzero_readable
257,65,65,0,0,195.0,train,0,65,at_least_two_nonzero_readable
258,41,41,0,0,123.0,train,0,41,at_least_two_nonzero_readable
259,349,349,0,0,1047.0,train,0,349,at_least_two_nonzero_readable
260,20,20,0,0,60.0,train,0,20,at_least_two_nonzero_readable
261,40,40,0,0,120.0,train,0,40,at_least_two_nonzero_readable
262,142,142,0,0,426.0,train,0,142,at_least_two_nonzero_readable
263,260,260,0,0,780.0,train,0,260,at_least_two_nonzero_readable
264,157,157,0,0,471.0,train,0,157,at_least_two_nonzero_readable
265,111,111,0,0,333.0,train,0,111,at_least_two_nonzero_readable
266,21,21,0,0,63.0,train,0,21,at_least_two_nonzero_readable
267,58,58,0,0,174.0,train,0,58,at_least_two_nonzero_readable
268,252,252,0,0,756.0,train,0,252,at_least_two_nonzero_readable
269,97,97,0,0,291.0,train,0,97,at_least_two_nonzero_readable
270,75,75,0,0,225.0,train,0,75,at_least_two_nonzero_readable
271,196,196,0,0,588.0,train,0,196,at_least_two_nonzero_readable
272,65,65,0,0,195.0,train,0,65,at_least_two_nonzero_readable
273,38,38,0,0,114.0,train,0,38,at_least_two_nonzero_readable
274,121,121,0,0,363.0,train,0,121,at_least_two_nonzero_readable
275,377,377,0,0,1131.0,train,0,377,at_least_two_nonzero_readable
276,104,104,0,0,312.0,train,0,104,at_least_two_nonzero_readable
277,279,279,0,0,837.0,train,0,279,at_least_two_nonzero_readable
278,61,61,0,0,183.0,train,0,61,at_least_two_nonzero_readable
279,176,176,0,0,528.0,train,0,176,at_least_two_nonzero_readable
280,37,37,0,0,111.0,train,0,37,at_least_two_nonzero_readable
281,35,35,0,0,105.0,train,0,35,at_least_two_nonzero_readable
282,27,27,0,0,81.0,train,0,27,at_least_two_nonzero_readable
283,107,107,0,0,321.0,train,0,107,at_least_two_nonzero_readable
284,22,22,0,0,66.0,train,0,22,at_least_two_nonzero_readable
285,6,6,0,0,18.0,train,0,6,at_least_two_nonzero_readable
286,236,236,0,0,708.0,train,0,236,at_least_two_nonzero_readable
287,31,31,0,0,93.0,train,0,31,at_least_two_nonzero_readable
288,42,42,0,0,126.0,train,0,42,at_least_two_nonzero_readable
289,222,222,0,0,666.0,train,0,222,at_least_two_nonzero_readable
290,124,124,0,0,372.0,train,0,124,at_least_two_nonzero_readable
291,7,7,0,0,21.0,train,0,7,at_least_two_nonzero_readable
292,331,331,0,0,993.0,train,0,331,at_least_two_nonzero_readable
293,266,266,0,0,798.0,train,0,266,at_least_two_nonzero_readable
294,230,230,0,0,690.0,train,0,230,at_least_two_nonzero_readable
295,263,263,0,0,789.0,train,0,263,at_least_two_nonzero_readable
296,42,42,0,0,126.0,train,0,42,at_least_two_nonzero_readable
297,50,50,0,0,150.0,train,0,50,at_least_two_nonzero_readable
298,70,70,0,0,210.0,train,0,70,at_least_two_nonzero_readable
299,19,19,0,0,57.0,train,0,19,at_least_two_nonzero_readable
300,311,311,0,0,933.0,train,0,311,at_least_two_nonzero_readable
301,9,9,0,0,27.0,train,0,9,at_least_two_nonzero_readable
302,87,87,0,0,261.0,train,0,87,at_least_two_nonzero_readable
303,64,64,0,0,192.0,train,0,64,at_least_two_nonzero_readable
304,299,299,0,0,897.0,train,0,299,at_least_two_nonzero_readable
305,117,117,0,0,351.0,train,0,117,at_least_two_nonzero_readable
306,26,26,0,0,78.0,train,0,26,at_least_two_nonzero_readable
307,20,20,0,0,60.0,train,0,20,at_least_two_nonzero_readable
308,18,18,0,0,54.0,train,0,18,at_least_two_nonzero_readable
309,59,59,0,0,177.0,train,0,59,at_least_two_nonzero_readable
310,67,67,0,0,201.0,train,0,67,at_least_two_nonzero_readable
311,187,187,0,0,561.0,train,0,187,at_least_two_nonzero_readable
312,172,172,0,0,516.0,train,0,172,at_least_two_nonzero_readable
313,5,5,0,0,15.0,train,0,5,at_least_two_nonzero_readable
314,160,160,0,0,480.0,train,0,160,at_least_two_nonzero_readable
315,87,87,0,0,261.0,train,0,87,at_least_two_nonzero_readable
316,92,92,0,0,276.0,train,0,92,at_least_two_nonzero_readable
317,92,92,0,0,276.0,train,0,92,at_least_two_nonzero_readable
