candidate,batch,samples,unique_speakers,max_speaker_share,distinct_shards,duplicate_indexes
hybrid_w8,188,32,16,0.0625,5,0
hybrid_w8,189,32,16,0.0625,4,0
hybrid_w8,190,32,16,0.0625,6,0
hybrid_w8,191,32,16,0.0625,6,0
hybrid_w8,192,32,16,0.0625,4,0
hybrid_w8,193,32,16,0.0625,5,0
hybrid_w8,194,32,16,0.0625,7,0
hybrid_w8,195,32,16,0.0625,3,0
hybrid_w8,196,32,16,0.0625,3,0
hybrid_w8,197,32,16,0.0625,7,0
hybrid_w8,198,32,16,0.0625,7,0
hybrid_w8,199,32,16,0.0625,8,0
hybrid_w8,200,32,16,0.0625,8,0
hybrid_w8,201,32,16,0.0625,7,0
hybrid_w8,202,32,16,0.0625,6,0
hybrid_w8,203,32,16,0.0625,6,0
hybrid_w8,204,32,16,0.0625,5,0
hybrid_w8,205,32,16,0.0625,3,0
hybrid_w8,206,32,16,0.0625,5,0
hybrid_w8,207,32,16,0.0625,3,0
hybrid_w8,208,32,16,0.0625,5,0
hybrid_w8,209,32,16,0.0625,6,0
hybrid_w8,210,32,16,0.0625,9,0
hybrid_w8,211,32,16,0.0625,7,0
hybrid_w8,212,32,16,0.0625,5,0
hybrid_w8,213,32,16,0.0625,8,0
hybrid_w8,214,32,16,0.0625,7,0
hybrid_w8,215,32,16,0.0625,9,0
hybrid_w8,216,32,16,0.0625,8,0
hybrid_w8,217,32,16,0.0625,7,0
hybrid_w8,218,32,16,0.0625,8,0
hybrid_w8,219,32,16,0.0625,5,0
hybrid_w8,220,32,16,0.0625,5,0
hybrid_w8,221,32,16,0.0625,6,0
hybrid_w8,222,32,16,0.0625,5,0
hybrid_w8,223,32,16,0.0625,5,0
hybrid_w8,224,32,16,0.0625,5,0
hybrid_w8,225,32,16,0.0625,6,0
hybrid_w8,226,32,16,0.0625,6,0
hybrid_w8,227,32,16,0.0625,9,0
hybrid_w8,228,32,16,0.0625,9,0
hybrid_w8,229,32,16,0.0625,7,0
hybrid_w8,230,32,16,0.0625,5,0
hybrid_w8,231,32,16,0.0625,8,0
hybrid_w8,232,32,16,0.0625,6,0
hybrid_w8,233,32,16,0.0625,7,0
hybrid_w8,234,32,16,0.0625,6,0
hybrid_w8,235,32,16,0.0625,3,0
hybrid_w8,236,32,16,0.0625,6,0
hybrid_w8,237,32,16,0.0625,6,0
